S.ID,DATE,NAME,GENDER,CAST,EMAIL ID,P.NO,REG.NO
23450,44927,RIYA,F,UR,xyz123@gmail.com,1234567890,105003835
23451,2-Jan,RADHA,F,UR,xyz124@gmail.com,1234567891,105003836
23452,3-Jan,PRIYA,F,ST,xyz125@gmai.com,1234567891,105003836
23453,4-Jan,PRITI,F,UR,xyz123@gmail.com,1234567891,105003836
23454,5-Jan,PRAGYA',F,BCII,xyz124@gmail.com,1234567891,105003836
23455,6-Jan,ANKIT,M,UR,xyz125@gmai.com,1234567891,105003836
23456,7-Jan,SWETA,F,UR,xyz123@gmail.com,1234567891,105003836
23457,8-Jan,NANDITA,F,SC,xyz124@gmail.com,1234567891,105003836
23458,9-Jan,RADHA,F,UR,xyz125@gmai.com,1234567891,105003836
23459,10-Jan,SHUBHAM,M,UR,xyz123@gmail.com,1234567891,105003836
23460,11-Jan,SAURAV,M,UR,xyz124@gmail.com,1234567891,105003836
23461,12-Jan,NANDNI,F,UR,xyz125@gmai.com,1234567891,105003836
23462,13-Jan,RADHIKA,F,BCII,xyz123@gmail.com,1234567891,105003836
23463,14-Jan,ANJALI,F,BCII,xyz124@gmail.com,1234567891,105003836
23464,15-Jan,KIRAN ,F,BCII,xyz125@gmai.com,1234567891,105003836
23465,16-Jan,PRIYA,F,UR,xyz123@gmail.com,1234567891,105003836
23466,17-Jan,KIRTI,F,UR,xyz124@gmail.com,1234567891,105003836
23467,18-Jan,PRAGATI,F,BCII,xyz125@gmai.com,1234567891,105003836
23468,19-Jan,SONALI,F,BCII,xyz123@gmail.com,1234567891,105003836
23469,20-Jan,ASTHA,F,BCI,xyz124@gmail.com,1234567891,105003836
23470,21-Jan,PRAGYA',F,BCII,xyz125@gmai.com,1234567891,105003836
23471,22-Jan,SHURUTI,F,BCII,xyz123@gmail.com,1234567891,105003836
23472,23-Jan,RITIK,M,BCII,xyz124@gmail.com,1234567891,105003836
23473,24-Jan,KAVYA,F,UR,xyz125@gmai.com,1234567891,105003836
23474,25-Jan,ABHISHEK,M,UR,xyz123@gmail.com,1234567891,105003836
23475,26-Jan,ELVISH,M,BCII,xyz124@gmail.com,1234567891,105003836
23476,27-Jan,ASTHA,F,BCII,xyz125@gmai.com,1234567891,105003836
23477,28-Jan,SUNDER,M,BCII,xyz123@gmail.com,1234567891,105003836
23478,29-Jan,TAPU,M,BCII,xyz124@gmail.com,1234567891,105003836
23479,30-Jan,SONU,M,BCII,xyz125@gmai.com,1234567891,105003836
23480,31-Jan,JETHALAL,M,BCII,xyz123@gmail.com,1234567891,105003836
23481,1-Feb,TARAK MEHTA,M,BCI,xyz124@gmail.com,1234567891,105003836
23482,2-Feb,BABITA JI,F,BCI,xyz125@gmai.com,1234567891,105003836
23483,3-Feb,ANJALI MEHTA,F,BCI,xyz123@gmail.com,1234567891,105003836
23484,4-Feb,MADHAVI,F,BCI,xyz124@gmail.com,1234567891,105003836
23485,5-Feb,KAPIL,M,SC,xyz125@gmai.com,1234567891,105003836
23486,6-Feb,KITTU,M,SC,xyz123@gmail.com,1234567891,105003836
